NHIAREGION,NHIADISTRICT,FACILITYNAME,FACILITYTYPE,OWNERSHIP,INSURANCE,DEPOSITDATE,APPLICATIONCATEGORY,STATUS,RECNUMBER,APPLICATIONDATE,END_DATE
WESTERN,MPOHOR WASSA EAST,SEKYERE KROBO HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/19/2021,Renewal,Approved Credential,WRMWE-0410-2021-134,8/20/2021,11/1/2023
WESTERN,MPOHOR WASSA EAST,AKUTUASE CLINIC,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/19/2021,Renewal,Approved Credential,WRMWE-0410-2021-120,8/17/2021,11/1/2023
EASTERN,BIRIM SOUTH,JUBILEE HOSPITAL,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,10/20/2021,Renewal,Approved Credential,ERBRS-0403-2021-282,10/20/2021,2/1/2024
BONO_EAST,KINTAMPO NORTH,LENDO HEALTHCARE SERVICES LIMITED,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,10/20/2021,New Application,Approved Credential,BEKTN-0205-2021-105,10/19/2021,11/30/2026
NORTHERN,SAGNARIGU MHIS,SOS CHILDRENS VILLAGE HEALTH CENTRE,Clinic,Quasi-public,National Health Insurance Scheme (NHIS) Only,10/20/2021,Renewal,Pending Approval for  Assessment,NRTAM-0410-2021-094,10/19/2021,11/1/2021
UP_EAST,GARU,TEMPANE HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/20/2021,Renewal,In Assessment,UEGAR-0404-2021-120,10/20/2021,11/1/2022
UP_EAST,GARU,NAGANI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/20/2021,Renewal,Approved Credential,UEGAR-0410-2021-121,10/20/2021,12/1/2023
UP_EAST,GARU,KONGO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/20/2021,Renewal,Approved Credential,UEGAR-0410-2021-122,10/20/2021,11/1/2023
EASTERN,KWAEBIBIREM DMHIS,KWAMANG CHPS (KWAEBIBRIEM),CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/20/2021,Renewal,Approved Credential,ERKBR-0410-2021-281,10/20/2021,11/1/2023
UP_EAST,BAWKU MUNICIPAL MHIS,BARIBARI CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/20/2021,Renewal,Approved Credential,UEBKE-0410-2021-119,10/20/2021,11/1/2023
UP_WEST,WA EAST,SAMUEL SEIDU MEMORIAL CLINIC,Maternity home,Mission,National Health Insurance Scheme (NHIS) Only,10/21/2021,Renewal,On Hold,UWWAE-0405-2021-151,10/18/2021,12/31/2020
BONO_EAST,SENE,BASSA CHPS COMPOUND,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/21/2021,Renewal,In Assessment,BESNE-0404-2021-098,10/13/2021,11/30/2021
ASHANTI,BOSOMTWE-ATWIMA-KWANWOMA,B7 MEDICAL CENTER,Clinic,Private,National Health Insurance Scheme (NHIS) Only,10/21/2021,New Application,Approved Credential,ARBAK-0206-2021-261,10/20/2021,3/31/2026
ASHANTI,MANHYIA SUB-METRO,MOSHIE ZONGO HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,ARMSM-0404-2021-233,9/17/2021,2/1/2024
VOLTA,KETU NORTH,AFIFE HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,In Assessment,VRKNO-0404-2021-096,9/22/2021,12/1/2021
VOLTA,KETU NORTH,PENYI HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,VRKNO-0410-2021-113,10/4/2021,12/1/2023
VOLTA,KETU NORTH,OHAWU HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,VRKNO-0410-2021-114,10/4/2021,12/1/2023
VOLTA,KETU NORTH,DEKPOR CHPS ZONE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,VRKNO-0410-2021-116,10/4/2021,12/1/2023
VOLTA,KETU NORTH,WETA HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,VRKNO-0410-2021-117,10/4/2021,12/1/2023
ASHANTI,MANHYIA SUB-METRO,SIAW-LARBI HOSPITAL,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,On Hold,ARMSM-0403-2021-260,10/19/2021,6/30/2021
AHAFO,ASUNAFO NORTH,WAM ADIEMBRA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,AFASN-0410-2021-050,10/22/2021,11/1/2023
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,BIBIANI GOVT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,WNBAB-0403-2021-093,10/15/2021,11/1/2023
AHAFO,ASUTIFI DISTRICT,AKOTOSU CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,Approved Credential,AFASF-0410-2021-047,10/12/2021,12/1/2023
WESTERN_NORTH,BIBIANI-ANHWIASO BEKWAI,MARIO IYKE DIAGNOSTICS CENTRE,Diagnostic,Private,National Health Insurance Scheme (NHIS) Only,10/22/2021,New Application,Payment Submitted - Pending Verification,WNBAB-0209-2021-094,10/22/2021,
BONO_EAST,TECHIMAN MUNICIPAL,MILI-MED CLINIC AND DIAGNOSTIC SERVICES LTD  (TECHIMAN),Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,10/22/2021,Renewal,In Assessment,BETEC-0403-2021-106,10/22/2021,11/30/2021
VOLTA,KETU NORTH,XIPE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/22/2021,New Application,Approved Credential,VRKNO-0210-2021-120,10/5/2021,9/1/2026
NORTHERN,SAGNARIGU MHIS,KALPOHIN HEALTH CENTRE (SAGNARIGU),Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/25/2021,Renewal,In Assessment,NRSAG-0404-2021-095,10/22/2021,6/1/2022
CENTRAL,TLD,TWIFO HEMANG HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/25/2021,Renewal,Approved Credential,CRTLD-0404-2021-107,8/1/2021,12/1/2023
NORTHERN,SABOBA / CHIREPONI,E P  CHURCH HEALTH CENTRE (WAPULI ),Health Center,Mission,National Health Insurance Scheme (NHIS) Only,10/26/2021,Renewal,On Hold,NRSBC-0404-2021-096,10/24/2021,2/28/2021
BONO,SUNYANI MUNICIPAL,YAWHIMA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/26/2021,Renewal,In Assessment,BNSNY-0404-2021-079,10/26/2021,12/1/2021
CENTRAL,UPPER DENKYIRA,DOXA EYE CARE CENTRE,optometry centre,Private,Private Health Insurance Scheme (PHIS) Only,10/26/2021,New Application,Approved Credential,CRUPD-0221-2021-145,10/15/2021,8/1/2026
ASHANTI,ASOKWA SUB-METRO,HART ADVENTIST HOSPITAL,Primary Care Hospital,Mission,National Health Insurance Scheme (NHIS) Only,10/26/2021,Renewal,Approved Credential,ARASM-0403-2021-262,10/26/2021,11/30/2023
GT.ACCRA,AYAWASO,EYEWEST EYECARE AND VISION CENTER,optometry centre,Private,Private Health Insurance Scheme (PHIS) Only,10/26/2021,New Application,Approved Credential,GAAYA-0221-2021-217,10/18/2021,3/31/2026
NORTH_EAST,WEST MAMPRUSI DMHIS,KPASENKPE HEALTH CENTRE,Polyclinic,Public,National Health Insurance Scheme (NHIS) Only,10/26/2021,Upgrade,Approved Credential,NEWMP-0519-2021-022,10/14/2021,1/1/2022
GT.ACCRA,GA,KEMET HOSPITAL,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,10/26/2021,Renewal,Approved Credential,GAGAD-0403-2021-219,10/19/2021,12/1/2023
BONO,SUNYANI MUNICIPAL,GLORY PHARMACY LTD,Pharmacy,Private,National Health Insurance Scheme (NHIS) Only,10/27/2021,Renewal,Approved Credential,BNSNY-0411-2021-077,10/20/2021,12/1/2023
ASHANTI,KWABRE,VEDNAN MEDICAL CENTRE LIMITED,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,10/27/2021,Upgrade,Approved Credential,ARKWB-0503-2021-267,10/26/2021,8/31/2023
ASHANTI,AMANSIE WEST,"OFFINHO ASAMANG CHPS COMPOUND,",CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/27/2021,Renewal,Payment Submitted - Pending Verification,ARAMW-0410-2021-268,10/26/2021,11/30/2019
GT.ACCRA,TEMA MMHIS,DAYANS EYE SERVICES LTD,optometry centre,Private,Private Health Insurance Scheme (PHIS) Only,10/27/2021,New Application,Approved Credential,GATMM-0221-2021-224,10/27/2021,10/1/2026
BONO,JAMAN SOUTH HIS,DWENEM RURAL CLINIC,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/27/2021,Upgrade,In Assessment,BNJMS-0504-2021-081,10/26/2021,12/1/2021
GT.ACCRA,DANGME EAST,ANYAMAM HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/27/2021,Renewal,Payment Submitted - Pending Verification,GADGE-0404-2021-222,10/27/2021,4/1/2022
GT.ACCRA,KPESHIE SUB-METRO,THE BANK HOSPITAL,Primary Care Hospital,Private,Private Health Insurance Scheme (PHIS) Only,10/27/2021,New Application,Approved Credential,GAKPE-0204-2021-215,10/14/2021,3/31/2026
BONO,JAMAN SOUTH HIS,ATUNA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/27/2021,Renewal,Approved Credential,BNJMS-0410-2021-078,10/25/2021,12/1/2023
BONO,JAMAN SOUTH HIS,ABIRIKASU HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/27/2021,Renewal,Approved Credential,BNJMS-0410-2021-080,10/26/2021,12/1/2023
BONO,JAMAN SOUTH HIS,DROBO POLYCLINIC,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/27/2021,Renewal,In Assessment,BNJMS-0404-2021-085,10/27/2021,10/10/2021
WESTERN_NORTH,BIA,ST JOSEPH MATERNITY HOME,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,10/28/2021,Renewal,Approved Credential,WNBIA-0405-2021-081,9/14/2021,11/1/2023
UP_WEST,SISSALA WEST MHIS,BUO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/28/2021,Upgrade,Approved Credential,UWSLW-0510-2021-142,8/25/2021,11/30/2023
NORTH_EAST,EAST MAMPRUSI DMHIS,PRESBYTERIAN HEALTH CENTRE-LANGBENSI,Health Center,Mission,National Health Insurance Scheme (NHIS) Only,10/28/2021,Renewal,Payment Submitted - Pending Verification,NEEMP-0404-2021-023,10/26/2021,11/30/2019
UP_WEST,SISSALA WEST MHIS,DUWIE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/28/2021,Renewal,Approved Credential,UWSLW-0410-2021-155,10/26/2021,11/30/2023
VOLTA,SOUTH TONGU,SOGAKOPE DISTRICT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,10/28/2021,Renewal,Approved Credential,CRAES-0215-2021-114,10/22/2021,12/1/2023
UP_WEST,SISSALA WEST MHIS,JEFFISI HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/28/2021,Renewal,Approved Credential,UWSLW-0410-2021-154,10/26/2021,10/31/2023
GT.ACCRA,LA SATELLITE,NEW VISION DENTAL CLINIC,Dental clinic,Private,Private Health Insurance Scheme (PHIS) Only,10/28/2021,New Application,Approved Credential,GALAS-0207-2021-226,10/27/2021,3/31/2026
ASHANTI,AMANSIE CENTRAL,FIANKOMA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/29/2021,Upgrade,In Assessment,ARAMC-0504-2021-204,9/7/2021,4/30/2023
GT.ACCRA,TEMA MMHIS,HEM PHARMA SERVICES LIMITED GAR,Pharmacy,Private,National Health Insurance Scheme (NHIS) Only,10/29/2021,Renewal,On Hold,GATMM-0411-2021-228,10/29/2021,11/30/2019
WESTERN_NORTH,BIA,AKADI MEDICAL LABORATORY (NEW ABESIM),Laboratory,Private,National Health Insurance Scheme (NHIS) Only,10/29/2021,Renewal,Approved Credential,WNBIA-0414-2021-089,10/1/2021,10/1/2023
ASHANTI,AMANSIE CENTRAL,KOFIHWIKROM CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,10/29/2021,Renewal,Payment Submitted - Pending Verification,ARAMC-0410-2021-053,3/4/2021,5/31/2021
GT.ACCRA,OKAIKOI,KANESHIE POLYCLINIC,Polyclinic,Public,National Health Insurance Scheme (NHIS) Only,10/29/2021,Renewal,Approved Credential,GAOKA-0419-2021-221,10/26/2021,12/1/2023
BONO_EAST,NKORANZA DIST.,DONKRO NKWANTA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,10/30/2021,Renewal,In Assessment,BENKZ-0404-2021-107,10/22/2021,1/31/2022
WESTERN_NORTH,JUABOSO,MODERN DIAGNOSTIC CENTRE (JUABOSO),Diagnostic,Private,National Health Insurance Scheme (NHIS) Only,11/1/2021,Renewal,Approved Credential,WNJBS-0409-2021-070,8/23/2021,11/1/2023
CENTRAL,MFANTSIMAN,NARKWA POLYCLINIC,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/1/2021,Upgrade,Approved Credential,CRMFM-0504-2021-151,10/28/2021,6/30/2024
NORTHERN,SAVELUGU / NANTONG,DIARE HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/1/2021,Renewal,Approved Credential,NRSVN-0404-2021-089,10/12/2021,1/31/2024
ASHANTI,SUBIN SUB-METRO,MIKADDO CLINIC LTD (KAMA CLINIC LTD.),Clinic,Private,National Health Insurance Scheme (NHIS) Only,11/1/2021,Renewal,Payment Submitted - Pending Verification,ARSSM-0406-2021-275,11/1/2021,8/31/2021
VOLTA,HO,BESTLAB MEDICAL DIAGNOSTIC LABORATORY,Diagnostic,Private,National Health Insurance Scheme (NHIS) Only,11/1/2021,Renewal,In Assessment,VRHOM-0409-2021-123,10/26/2021,11/30/2021
BONO_EAST,SENE,SENE WEST DISTRICT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,11/2/2021,Renewal,In Assessment,BESNE-0403-2021-103,10/18/2021,1/31/2022
ASHANTI,MANHYIA SUB-METRO,AMOAH MEMORIAL HOSPITAL (KUMASI),Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,11/2/2021,Renewal,On Hold,ARMSM-0403-2021-271,10/27/2021,5/31/2021
VOLTA,KETU,KETU SOUTH MUNICIPAL HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,11/2/2021,Renewal,Payment Submitted - Pending Verification,VRKTU-0403-2021-124,11/2/2021,11/30/2021
WESTERN,TAKORADI MHIS,PEACE MEDICAL LABORATORY,Laboratory,Private,National Health Insurance Scheme (NHIS) Only,11/2/2021,New Application,In Assessment,WRTSM-0214-2021-182,10/28/2021,
GT.ACCRA,GA,GHANA ATOMIC ENERGY COMMISSION CLINIC,Primary Care Hospital,Quasi-public,National Health Insurance Scheme (NHIS) Only,11/2/2021,Renewal,Approved Credential,GAGAD-0403-2021-185,9/6/2021,12/1/2023
BONO_EAST,TECHIMAN MUNICIPAL,ZUNUO HOSPITAL,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,11/2/2021,Upgrade,Approved Credential,BETEC-0503-2021-097,9/30/2021,2/29/2024
GT.ACCRA,TEMA MMHIS,KEAT PHARMACY,Pharmacy,Private,Private Health Insurance Scheme (PHIS) Only,11/2/2021,New Application,Approved Credential,GATMM-0211-2021-183,9/2/2021,10/1/2026
ASHANTI,EJISU-JUABEN,"TRUE FAITH HOSPITAL, BETHEL JUABEN",Health Center,Mission,National Health Insurance Scheme (NHIS) Only,11/3/2021,Additional service,In Assessment,AREJB-0304-2021-130,6/28/2021,11/1/2021
UP_EAST,BAWKU MUNICIPAL MHIS,TISUNGU CLINIC,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,Renewal,On Hold,UEBKE-0404-2021-098,9/7/2021,8/31/2019
UP_EAST,BAWKU MUNICIPAL MHIS,MOGNORI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,Renewal,In Assessment,UEBKE-0404-2021-104,9/13/2021,12/1/2022
UP_EAST,BAWKU MUNICIPAL MHIS,KPALORE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,New Application,Payment Submitted - Pending Verification,UEBKE-0210-2020-062,10/5/2020,
EASTERN,EAST AKIM DMHIS,MARYLAND HEALTH CENTER,Clinic,Private,Both,11/3/2021,New Application,Approved Credential,EREAK-0206-2020-105,7/9/2020,9/1/2026
ASHANTI,MANHYIA SUB-METRO,HAPPY DAY MATERNITY HOME,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,11/3/2021,Renewal,Approved Credential,ARMSM-0405-2021-256,10/12/2021,2/1/2024
UP_EAST,BAWKU MUNICIPAL MHIS,BUGZUNDE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,New Application,In Assessment,UEBKE-0210-2021-002,1/6/2021,
UP_EAST,BONGO MHIS,LUNGU CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,Renewal,Approved Credential,UEBNG-0410-2021-124,10/29/2021,2/1/2024
UP_EAST,BONGO MHIS,ATAMPIISI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,Renewal,Approved Credential,UEBNG-0510-2021-123,10/29/2021,11/1/2023
EASTERN,MANYA KROBO DMHIS,ATUA GOVERNMENT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,Renewal,Approved Credential,ERMKB-0403-2021-283,10/22/2021,12/1/2023
GT.ACCRA,TEMA MMHIS,"TEMA GENERAL HOSPITAL ,",Secondary care hospital,Public,National Health Insurance Scheme (NHIS) Only,11/3/2021,Renewal,Approved Credential,GATMM-0402-2021-230,11/2/2021,12/1/2023
SAVANNAH,EAST GONJA,DAGBAMBIA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/4/2021,New Application,Payment Submitted - Pending Verification,SVEGJ-0210-2021-049,10/25/2021,
NORTHERN,SAGNARIGU MHIS,GARIZEGU CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/4/2021,Renewal,Approved Credential,NRSAG-0410-2021-087,10/8/2021,11/30/2023
SAVANNAH,EAST GONJA,KPEMBE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/4/2021,New Application,Approved Credential,SVEGJ-0210-2021-050,10/25/2021,3/31/2026
GT.ACCRA,ASHAIMAN,ALL CARE MEDICAL CENTRE (KPONE),Clinic with a specialist,Private,National Health Insurance Scheme (NHIS) Only,11/4/2021,Renewal,Approved Credential,GAASH-0415-2021-220,10/26/2021,12/1/2023
CENTRAL,UPPER DENKYIRA,AMOAMAN CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/4/2021,Renewal,Approved Credential,CRUPD-0410-2021-149,10/22/2021,11/1/2023
UP_EAST,BONGO MHIS,SANABISI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/4/2021,New Application,In Assessment,UEBNG-0210-2021-118,10/15/2021,
CENTRAL,UPPER DENKYIRA,DENKYIRA OBUASI CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/4/2021,Renewal,Payment Submitted - Pending Verification,CRUPD-0410-2021-146,10/20/2021,11/30/2021
SAVANNAH,EAST GONJA,BAU CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/4/2021,New Application,Payment Submitted - Pending Verification,SVEGJ-0210-2021-048,10/12/2021,
GT.ACCRA,KPESHIE SUB-METRO,AMASHA PARTNERS LIMITED (PHIS ONLY),optometry centre,Private,Private Health Insurance Scheme (PHIS) Only,11/4/2021,Renewal,On Hold,GAKPE-0421-2021-208,10/13/2021,11/30/2021
VOLTA,KETU NORTH,Ketu North Municipal Hospital,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,11/5/2021,New Application,Approved Credential,VRKNO-0203-2021-125,11/5/2021,3/31/2026
EASTERN,OKWAHUMAN WEST,NKAWANDA NO 2 HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0410-2021-264,9/15/2021,2/1/2024
BONO,TAIN DISTRICT,SABIYE HEALTH CENTER,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,BNTAI-0404-2021-086,10/28/2021,6/1/2024
EASTERN,OKWAHUMAN WEST,AWEREGYA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0404-2021-269,9/20/2021,2/1/2024
EASTERN,OKWAHUMAN WEST,JAMASI NO.1 CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0410-2021-270,9/20/2021,11/1/2023
EASTERN,OKWAHUMAN WEST,"ASUBONI HEALTH CENTRE,,",Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0404-2021-266,9/15/2021,2/1/2024
EASTERN,OKWAHUMAN WEST,EKAWSO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0410-2021-263,9/15/2021,2/1/2024
EASTERN,OKWAHUMAN WEST,APRADANG HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0410-2021-262,9/15/2021,2/1/2024
EASTERN,OKWAHUMAN WEST,NKAWKAW HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0404-2021-267,9/15/2021,2/1/2024
EASTERN,OKWAHUMAN WEST,KWAHU JEJETI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,EROKW-0404-2021-265,9/15/2021,2/1/2024
BONO,TAIN DISTRICT,"FAWOMAN CHPS,BANDA",CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/6/2021,Renewal,Approved Credential,BNTAI-0410-2021-082,10/26/2021,6/1/2024
CENTRAL,GOMOAMAN,NYANYANO HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/7/2021,Renewal,Approved Credential,CRGOM-0404-2021-152,10/28/2021,11/1/2023
EASTERN,ASUOGYAMAN,"VRA HOSPITAL, AKOSOMBO.",Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,11/7/2021,Renewal,Approved Credential,ERAGM-0403-2021-290,11/5/2021,6/1/2024
BONO,WENCHI DISTRICT,NCHIRAA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/8/2021,Renewal,Approved Credential,BNWEN-0404-2021-090,11/8/2021,11/1/2023
BONO,WENCHI DISTRICT,BRANAM CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/8/2021,New Application,Payment Submitted - Pending Verification,BNWEN-0210-2021-087,11/3/2021,
ASHANTI,ASANTE AKIM SOUTH DMHIS,OBOGU HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/8/2021,Renewal,On Hold,ARAKS-0404-2021-278,11/8/2021,10/31/2021
ASHANTI,ATWIMA MPONOA,ANGLICAN HEALTH CENTRE (TANO ODUMASE),Health Center,Mission,National Health Insurance Scheme (NHIS) Only,11/8/2021,Renewal,On Hold,ARATM-0404-2021-259,10/15/2021,2/28/2021
NORTHERN,NANUMBA NORTH DMHIS,BIMBILLA DISTRICT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,11/8/2021,Renewal,Payment Submitted - Pending Verification,NRNBN-0403-2021-097,11/4/2021,11/30/2021
GT.ACCRA,ABLEKUMA MHIS,ALL- LIFE PHARMACY,Pharmacy,Private,National Health Insurance Scheme (NHIS) Only,11/8/2021,Renewal,In Assessment,GAABK-0411-2021-233,11/5/2021,11/30/2021
GT.ACCRA,TEMA MMHIS,EMMANUEL DUAH,Clinic,Private,Private Health Insurance Scheme (PHIS) Only,11/9/2021,New Application,Approved Credential,GATMM-0206-2021-225,10/27/2021,11/30/2026
ASHANTI,AMANSIE WEST,ODAHO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/9/2021,Renewal,Approved Credential,ARAMW-0410-2021-273,10/28/2021,6/1/2024
EASTERN,NEW JUABEN MHIS,ST. JOSEPH HOSPITAL KOFORIDUA,Primary Care Hospital,Mission,National Health Insurance Scheme (NHIS) Only,11/9/2021,Renewal,Approved Credential,ERNJB-0403-2021-289,11/4/2021,2/1/2024
ASHANTI,AMANSIE WEST,KENIAGO HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/9/2021,Renewal,Approved Credential,ARAMW-0410-2021-272,10/28/2021,2/1/2024
ASHANTI,AMANSIE WEST,ABUOSO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/9/2021,Renewal,Approved Credential,ARAMW-0410-2021-269,10/27/2021,6/1/2024
ASHANTI,AMANSIE WEST,ADIMPOSO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/9/2021,Renewal,Approved Credential,ARAMW-0410-2021-274,10/28/2021,2/1/2024
BONO,TAIN DISTRICT,NYIRE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/9/2021,Renewal,Approved Credential,BNTAI-0410-2021-084,10/27/2021,6/1/2024
CENTRAL,KEEA,AFESI AGAMA MEMORIAL SCAN,Ultrasound Centre,Private,National Health Insurance Scheme (NHIS) Only,11/10/2021,Renewal,In Assessment,CRKEA-0413-2021-155,11/10/2021,11/30/2020
NORTHERN,YENDI DIST HIS,GENERAL FAMILY HOSPITAL ANNEX -C YENDI,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,11/10/2021,New Application,Approved Credential,NRYEN-0203-2021-099,11/9/2021,5/1/2026
GT.ACCRA,DANGME WEST,SUPREME TRUST COMMUNITY HOSPITAL LIMITED,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,11/11/2021,Renewal,Approved Credential,GAGAD-0403-2021-227,10/28/2021,9/1/2024
EASTERN,WEST AKIM,ASAMANKESE HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,11/11/2021,Renewal,Approved Credential,ERWAK-0404-2021-293,11/11/2021,2/1/2024
CENTRAL,AJUMAKO,MAMA TESS MATERNITY HOME,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,11/11/2021,Renewal,On Hold,CRAEE-0405-2021-153,11/8/2021,4/30/2021
BONO,TAIN DISTRICT,BOFIE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,11/11/2021,Renewal,Approved Credential,BNTAI-0410-2021-083,10/27/2021,6/1/2024
